Date,account,total_pnl,total_volume,avg_trade_size,trade_count,avg_leverage,win_rate,long_pct,max_drawdown,Classification,Sentiment_Score
2025-05-02,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,14.59,42145.06,2107.25,20,1.0,75.0,25.0,0.0,Greed,67.0
2025-05-02,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,149967.24,16663.03,9,1.0,0.0,100.0,0.0,Greed,67.0
2025-05-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32.72,1295.7,431.9,3,1.0,33.33333333333333,66.66666666666666,0.0,Greed,67.0
2025-05-02,0x28736f43f1e871e6aa8b1148d38d4994275d72c4,696.81,75729.73,912.41,83,1.0,44.57831325301205,54.21686746987952,-0.7799999999988358,Greed,67.0
2025-05-02,0x8170715b3b381dffb7062c0298972d4727a0a63b,0.0,14999.82,599.99,25,1.0,0.0,0.0,-5736.219455999999,Greed,67.0
2025-05-03,0xbee1707d6b44d4d52bfe19e41f8a828645437aab,12814.77,365851.66,1811.15,202,1.0,62.37623762376238,45.04950495049505,-40993.34713400004,Greed,67.0
2025-05-03,0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,3677.4,179000.0,22375.0,8,1.0,100.0,0.0,0.0,Greed,67.0
2025-05-03,0xbaaaf6571ab7d571043ff1e313a9609a10637864,229058.68,4597959.76,4677.48,983,1.0,91.353001017294,8.646998982706002,0.0,Greed,67.0
2025-05-03,0xb899e522b5715391ae1d4f137653e7906c5e2115,2036.22,1758733.42,17587.33,100,1.0,38.0,62.0,0.0,Greed,67.0
2025-05-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,4647.06,179915.21,2021.52,89,1.0,64.04494382022472,35.95505617977528,0.0,Greed,67.0
2025-05-03,0xae5eacaf9c6b9111fd53034a602c192a04e082ed,0.0,31505.8,3500.64,9,1.0,0.0,100.0,0.0,Greed,67.0
2025-05-03,0x4f93fead39b70a1824f981a54d4e55b278e9f760,2741.1,1559003.67,28870.44,54,1.0,37.03703703703704,42.592592592592595,0.0,Greed,67.0
